22,-2,+h87qJtNUOUqMtGM/fGLG24WwPM=,+9EJo4Y8OtkdJ7MvNORCg+5QZqk=
22,-8,+h87qJtNUOUqMtGM/fGLG24WwPM=,GxxcOSu5jbfyTKNOV4fGaXpNqMk=
21,-2,+h87qJtNUOUqMtGM/fGLG24WwPM=,+9EJo4Y8OtkdJ7MvNORCg+5QZqk=
22,-5,+h87qJtNUOUqMtGM/fGLG24WwPM=,GxxcOSu5jbfyTKNOV4fGaXpNqMk=
22,-6,+h87qJtNUOUqMtGM/fGLG24WwPM=,GxxcOSu5jbfyTKNOV4fGaXpNqMk=
21,-7,+h87qJtNUOUqMtGM/fGLG24WwPM=,GxxcOSu5jbfyTKNOV4fGaXpNqMk=
21,-8,+h87qJtNUOUqMtGM/fGLG24WwPM=,GxxcOSu5jbfyTKNOV4fGaXpNqMk=
21,-4,+h87qJtNUOUqMtGM/fGLG24WwPM=,+9EJo4Y8OtkdJ7MvNORCg+5QZqk=
22,-7,+h87qJtNUOUqMtGM/fGLG24WwPM=,GxxcOSu5jbfyTKNOV4fGaXpNqMk=
21,-3,+h87qJtNUOUqMtGM/fGLG24WwPM=,+9EJo4Y8OtkdJ7MvNORCg+5QZqk=
21,-5,+h87qJtNUOUqMtGM/fGLG24WwPM=,GxxcOSu5jbfyTKNOV4fGaXpNqMk=
22,-4,+h87qJtNUOUqMtGM/fGLG24WwPM=,+9EJo4Y8OtkdJ7MvNORCg+5QZqk=
22,-3,+h87qJtNUOUqMtGM/fGLG24WwPM=,+9EJo4Y8OtkdJ7MvNORCg+5QZqk=
21,-6,+h87qJtNUOUqMtGM/fGLG24WwPM=,GxxcOSu5jbfyTKNOV4fGaXpNqMk=
17,-11,+h87qJtNUOUqMtGM/fGLG24WwPM=,+435opBg+xuhYI8FwIwpJPxboqU=
18,-11,+h87qJtNUOUqMtGM/fGLG24WwPM=,+435opBg+xuhYI8FwIwpJPxboqU=
19,-10,+h87qJtNUOUqMtGM/fGLG24WwPM=,+435opBg+xuhYI8FwIwpJPxboqU=
18,-10,+h87qJtNUOUqMtGM/fGLG24WwPM=,+435opBg+xuhYI8FwIwpJPxboqU=
19,-11,+h87qJtNUOUqMtGM/fGLG24WwPM=,+435opBg+xuhYI8FwIwpJPxboqU=
17,-10,+h87qJtNUOUqMtGM/fGLG24WwPM=,+435opBg+xuhYI8FwIwpJPxboqU=
21,-1,+h87qJtNUOUqMtGM/fGLG24WwPM=,+9EJo4Y8OtkdJ7MvNORCg+5QZqk=
22,-1,+h87qJtNUOUqMtGM/fGLG24WwPM=,+9EJo4Y8OtkdJ7MvNORCg+5QZqk=
19,-14,+h87qJtNUOUqMtGM/fGLG24WwPM=,x19TcFJcpCDp6iXi5+QpumNU8eU=
